regency;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Kab. Jembrana;309750;341000;432650;455300;532700;675000;737500;812500;875000;927500;1000000;1212500;1542600;1662500;-;2006617;2181393;2356559;2557102;2557102
Kab. Tabanan;-;-;-;-;530000;622054;685000;777000;854500;910000;1005000;1250000;1542600;1706700;1902970;2059965;2239500;2419332;2625217;2625217
Kab. Badung;345000;385000;469000;506500;582000;705000;805000;950000;1110000;1221000;1290000;1401000;1728000;1905000;2124075;2299311;2499581;2700297;2930093;2930093
Kab. Gianyar;320000;345000;446265;475000;540000;650000;760000;842500;925000;1003625;1104000;1230000;1543000;1707750;1904141;2061233;2240766;2421000;2627000;2627000
Kab. Klungkung;-;-;-;-;521000;625000;686000;767000;835800;927000;995000;1190000;1545000;1650000;1839750;1991529;2164992;2338840;2538000;2538000
Kab. Bangli;-;-;-;450000;522000;625000;685000;760500;829500;893000;970000;1182000;1542600;1622000;1808530;1957734;2128253;2299152;2494810;2494810
Kab. Karangasem;-;-;-;-;515000;636000;712320;815606;875000;953750;1039600;1195000;1542600;1700000;1895500;2051879;2180000;2355054;2555469;2555469
Kab. Buleleng;-;-;-;-;510000;623000;685000;765000;830000;895000;975000;1200000;1542600;1650000;1839750;1991529;2165000;2338850;2538000;2538000
Kota Denpasar;309750;385000;465000;500000;567500;698500;800000;952000;1100000;1191500;1259000;1358000;1656900;1800000;2007000;2173000;2363000;2553000;2770300;2770300
Provinsi Bali;309750;341000;425000;447500;510000;622000;682650;760000;829316;890000;967500;1181000;1542600;1621172;1807600;1956727;2127157;2297969;2493523;2493523
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;